,Company_name,Bar_origin,Ref,Review_date,Cocoa_percentage,Company_location,Rating,Bean_origin
0,A. Morin,Agua Grande,1876,2016,63%,France,3.75,Sao Tome
1,A. Morin,Kpime,1676,2015,70%,France,2.75,Togo
2,A. Morin,Atsane,1676,2015,70%,France,3.0,Togo
3,A. Morin,Akata,1680,2015,70%,France,3.5,Togo
4,A. Morin,Quilla,1704,2015,70%,France,3.5,Peru
5,A. Morin,Carenero,1315,2014,70%,France,2.75,Venezuela
6,A. Morin,Cuba,1315,2014,70%,France,3.5,Cuba
7,A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Venezuela
8,A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Venezuela
9,A. Morin,Pablino,1319,2014,70%,France,4.0,Peru
10,A. Morin,Panama,1011,2013,70%,France,2.75,Panama
11,A. Morin,Madagascar,1011,2013,70%,France,3.0,Madagascar
12,A. Morin,Brazil,1011,2013,70%,France,3.25,Brazil
13,A. Morin,Equateur,1011,2013,70%,France,3.75,Ecuador
14,A. Morin,Colombie,1015,2013,70%,France,2.75,Colombia
15,A. Morin,Birmanie,1015,2013,70%,France,3.0,Burma
16,A. Morin,Papua New Guinea,1015,2013,70%,France,3.25,Papua New Guinea
17,A. Morin,Chuao,1015,2013,70%,France,4.0,Venezuela
18,A. Morin,Piura,1019,2013,70%,France,3.25,Peru
19,A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5,Peru
20,A. Morin,Chanchamayo Province,1019,2013,63%,France,4.0,Peru
21,A. Morin,Bolivia,797,2012,70%,France,3.5,Bolivia
22,A. Morin,Peru,797,2012,63%,France,3.75,Peru
23,Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75,Peru
24,Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Peru
25,Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Fiji
26,Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Fiji
27,Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Fiji
